Experiment: Nash_Combination_Experiment_55
Generation: 38
Generation Type: v
Timestamp: 20231226_210702

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.309425346603519, 10.030991605408216] - Base Fitness: -0.36642300786997667, Adjusted Fitness: -0.36642300786997667
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.290521909720843, 10.030991605408216] - Base Fitness: 0.2757168890684112, Adjusted Fitness: 0.2895953482466592
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.042263807898753] - Base Fitness: 0.2749356098068815, Adjusted Fitness: 0.2842018787007714
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.309425346603519, 10.030991605408216] - Base Fitness: 0.27547107332524845, Adjusted Fitness: 0.2941121875012158
[0.0085, 0.44474179380726375, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.2641287049310435, Adjusted Fitness: 0.27833511764349694
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.36481059152825923, Adjusted Fitness: -0.34107802008886406
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.36481059152825923, Adjusted Fitness: -0.34107802008886406
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.44474179380726375, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.3002866768043555, 10.030991605408216] - Base Fitness: 0.26322623163301867, Adjusted Fitness: 0.2677050844318594
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.44474179380726375, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.19445105959867384, Adjusted Fitness: -0.19445105959867384
[0.0085, 0.46, 0.13, -0.8544894473807104, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.2733188843253076, Adjusted Fitness: 0.27789105087264443
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.4531729024359403, Adjusted Fitness: -0.44300020543090174
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.290521909720843, 10.05100835993665] - Base Fitness: 0.27378387562547846, Adjusted Fitness: 0.278359807077236
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.003223501417855] - Base Fitness: 0.27956699669815843, Adjusted Fitness: 0.28347291472530906
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.23063785648947369, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.48265696417793863, Adjusted Fitness: -0.47986318332814465
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.0007563602058662036, Adjusted Fitness: 0.02284723197587944
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.19019399893614386, Adjusted Fitness: -0.16031121613923133
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.290521909720843, 10.030991605408216] - Base Fitness: 0.2757168890684112, Adjusted Fitness: 0.2895953482466592
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216] - Base Fitness: 0.27777110755620393, Adjusted Fitness: 0.3125591140063563
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.309425346603519, 10.030991605408216] - Base Fitness: 0.27547107332524845, Adjusted Fitness: 0.2941121875012158
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.290521909720843, 10.064193560210272] - Base Fitness: 0.27265443102037534, Adjusted Fitness: 0.27721995303466285
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.11680148351962047, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.219196855150856, Adjusted Fitness: -0.219196855150856
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: -0.19019399893614386, Adjusted Fitness: -0.16031121613923133
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2813897953810915, 10.014879827395875] - Base Fitness: -0.18869448270848516, Adjusted Fitness: -0.18867151677178462
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2813897953810915, 10.014879827395875] - Base Fitness: -0.18869448270848516, Adjusted Fitness: -0.18867151677178462
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216] - Base Fitness: 0.27649545557224603, Adjusted Fitness: 9.184395497240727
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.309425346603519, 10.030991605408216] - Base Fitness: 0.27547107332524845, Adjusted Fitness: 0.2941121875012158

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216]:
  Angle -10: cl=-0.5661917924880981, cd=0.23437270522117615, cm=-0.19028718769550323
  Angle -9: cl=-0.5921936631202698, cd=0.20144014060497284, cm=-0.18651415407657623
  Angle -8: cl=-0.6149242520332336, cd=0.16657069325447083, cm=-0.1855670064687729
  Angle -7: cl=-0.6534892320632935, cd=0.13162492215633392, cm=-0.18116529285907745
  Angle -6: cl=-0.6062099933624268, cd=0.11693616956472397, cm=-0.1665244847536087
  Angle -5: cl=-0.4986969828605652, cd=0.10458140075206757, cm=-0.15302853286266327
  Angle -4: cl=-0.4064684212207794, cd=0.09945154190063477, cm=-0.14002127945423126
  Angle -3: cl=-0.30547821521759033, cd=0.09379052370786667, cm=-0.12656070291996002
  Angle -2: cl=-0.2236666977405548, cd=0.0885184183716774, cm=-0.10546155273914337
  Angle -1: cl=-0.16262683272361755, cd=0.08372413367033005, cm=-0.07624034583568573
  Angle 0: cl=-0.08898337930440903, cd=0.08279141038656235, cm=-0.04839251935482025
  Angle 1: cl=-0.005355732515454292, cd=0.08309390395879745, cm=-0.026029959321022034
  Angle 2: cl=0.07912571728229523, cd=0.0841248407959938, cm=-0.011022284626960754
  Angle 3: cl=0.3107043206691742, cd=0.06896018981933594, cm=-0.006090566515922546
  Angle 4: cl=0.4286114573478699, cd=0.07181549072265625, cm=-8.110702037811279e-05
  Angle 5: cl=0.5271304249763489, cd=0.08007803559303284, cm=0.0033457577228546143
  Angle 6: cl=0.618359386920929, cd=0.08733653277158737, cm=0.005774900317192078
  Angle 7: cl=0.7082211971282959, cd=0.09394024312496185, cm=0.008230641484260559
  Angle 8: cl=0.7984898686408997, cd=0.10050676017999649, cm=0.009840771555900574
  Angle 9: cl=0.8937983512878418, cd=0.10531014949083328, cm=0.003604412078857422
  Angle 10: cl=0.9931058883666992, cd=0.11134500801563263, cm=-0.004245653748512268
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216]:
  Angle -10: cl=-0.5661917924880981, cd=0.23437270522117615, cm=-0.19028718769550323
  Angle -9: cl=-0.5921936631202698, cd=0.20144014060497284, cm=-0.18651415407657623
  Angle -8: cl=-0.6149242520332336, cd=0.16657069325447083, cm=-0.1855670064687729
  Angle -7: cl=-0.6534892320632935, cd=0.13162492215633392, cm=-0.18116529285907745
  Angle -6: cl=-0.6062099933624268, cd=0.11693616956472397, cm=-0.1665244847536087
  Angle -5: cl=-0.4986969828605652, cd=0.10458140075206757, cm=-0.15302853286266327
  Angle -4: cl=-0.4064684212207794, cd=0.09945154190063477, cm=-0.14002127945423126
  Angle -3: cl=-0.30547821521759033, cd=0.09379052370786667, cm=-0.12656070291996002
  Angle -2: cl=-0.2236666977405548, cd=0.0885184183716774, cm=-0.10546155273914337
  Angle -1: cl=-0.16262683272361755, cd=0.08372413367033005, cm=-0.07624034583568573
  Angle 0: cl=-0.08898337930440903, cd=0.08279141038656235, cm=-0.04839251935482025
  Angle 1: cl=-0.005355732515454292, cd=0.08309390395879745, cm=-0.026029959321022034
  Angle 2: cl=0.07912571728229523, cd=0.0841248407959938, cm=-0.011022284626960754
  Angle 3: cl=0.3107043206691742, cd=0.06896018981933594, cm=-0.006090566515922546
  Angle 4: cl=0.4286114573478699, cd=0.07181549072265625, cm=-8.110702037811279e-05
  Angle 5: cl=0.5271304249763489, cd=0.08007803559303284, cm=0.0033457577228546143
  Angle 6: cl=0.618359386920929, cd=0.08733653277158737, cm=0.005774900317192078
  Angle 7: cl=0.7082211971282959, cd=0.09394024312496185, cm=0.008230641484260559
  Angle 8: cl=0.7984898686408997, cd=0.10050676017999649, cm=0.009840771555900574
  Angle 9: cl=0.8937983512878418, cd=0.10531014949083328, cm=0.003604412078857422
  Angle 10: cl=0.9931058883666992, cd=0.11134500801563263, cm=-0.004245653748512268
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216]:
  Angle -10: cl=-0.5663586854934692, cd=0.23447468876838684, cm=-0.19028042256832123
  Angle -9: cl=-0.5923385620117188, cd=0.20158740878105164, cm=-0.18652130663394928
  Angle -8: cl=-0.6149993538856506, cd=0.16672925651073456, cm=-0.1855684369802475
  Angle -7: cl=-0.6536717414855957, cd=0.13169963657855988, cm=-0.18122728168964386
  Angle -6: cl=-0.6060923933982849, cd=0.11699198931455612, cm=-0.1665589064359665
  Angle -5: cl=-0.4989149570465088, cd=0.10463418066501617, cm=-0.15311552584171295
  Angle -4: cl=-0.40652862191200256, cd=0.09944728016853333, cm=-0.14009840786457062
  Angle -3: cl=-0.3053683042526245, cd=0.09379784017801285, cm=-0.12665577232837677
  Angle -2: cl=-0.22341731190681458, cd=0.08853819966316223, cm=-0.1056254655122757
  Angle -1: cl=-0.1621272712945938, cd=0.08374230563640594, cm=-0.0764685720205307
  Angle 0: cl=-0.0888025090098381, cd=0.08281216770410538, cm=-0.04854734241962433
  Angle 1: cl=-0.005249278619885445, cd=0.0830872654914856, cm=-0.026142939925193787
  Angle 2: cl=0.07930051535367966, cd=0.08411268144845963, cm=-0.011155113577842712
  Angle 3: cl=0.31087765097618103, cd=0.06899509578943253, cm=-0.006237521767616272
  Angle 4: cl=0.42888399958610535, cd=0.07174752652645111, cm=-0.0001611262559890747
  Angle 5: cl=0.5275250673294067, cd=0.07999766618013382, cm=0.003295689821243286
  Angle 6: cl=0.6187372207641602, cd=0.08727557957172394, cm=0.005709812045097351
  Angle 7: cl=0.7087519764900208, cd=0.09388414025306702, cm=0.00814908742904663
  Angle 8: cl=0.7986074090003967, cd=0.10043933242559433, cm=0.009802863001823425
  Angle 9: cl=0.8940298557281494, cd=0.10528631508350372, cm=0.0036536455154418945
  Angle 10: cl=0.9934117197990417, cd=0.11129647493362427, cm=-0.004187449812889099
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216]:
  Angle -10: cl=-0.5663586854934692, cd=0.23447468876838684, cm=-0.19028042256832123
  Angle -9: cl=-0.5923385620117188, cd=0.20158740878105164, cm=-0.18652130663394928
  Angle -8: cl=-0.6149993538856506, cd=0.16672925651073456, cm=-0.1855684369802475
  Angle -7: cl=-0.6536717414855957, cd=0.13169963657855988, cm=-0.18122728168964386
  Angle -6: cl=-0.6060923933982849, cd=0.11699198931455612, cm=-0.1665589064359665
  Angle -5: cl=-0.4989149570465088, cd=0.10463418066501617, cm=-0.15311552584171295
  Angle -4: cl=-0.40652862191200256, cd=0.09944728016853333, cm=-0.14009840786457062
  Angle -3: cl=-0.3053683042526245, cd=0.09379784017801285, cm=-0.12665577232837677
  Angle -2: cl=-0.22341731190681458, cd=0.08853819966316223, cm=-0.1056254655122757
  Angle -1: cl=-0.1621272712945938, cd=0.08374230563640594, cm=-0.0764685720205307
  Angle 0: cl=-0.0888025090098381, cd=0.08281216770410538, cm=-0.04854734241962433
  Angle 1: cl=-0.005249278619885445, cd=0.0830872654914856, cm=-0.026142939925193787
  Angle 2: cl=0.07930051535367966, cd=0.08411268144845963, cm=-0.011155113577842712
  Angle 3: cl=0.31087765097618103, cd=0.06899509578943253, cm=-0.006237521767616272
  Angle 4: cl=0.42888399958610535, cd=0.07174752652645111, cm=-0.0001611262559890747
  Angle 5: cl=0.5275250673294067, cd=0.07999766618013382, cm=0.003295689821243286
  Angle 6: cl=0.6187372207641602, cd=0.08727557957172394, cm=0.005709812045097351
  Angle 7: cl=0.7087519764900208, cd=0.09388414025306702, cm=0.00814908742904663
  Angle 8: cl=0.7986074090003967, cd=0.10043933242559433, cm=0.009802863001823425
  Angle 9: cl=0.8940298557281494, cd=0.10528631508350372, cm=0.0036536455154418945
  Angle 10: cl=0.9934117197990417, cd=0.11129647493362427, cm=-0.004187449812889099
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.290521909720843, 10.030991605408216]:
  Angle -10: cl=-0.5660435557365417, cd=0.23429298400878906, cm=-0.19015245139598846
  Angle -9: cl=-0.5922239422798157, cd=0.20137901604175568, cm=-0.18651337921619415
  Angle -8: cl=-0.6148545742034912, cd=0.16658049821853638, cm=-0.18557484447956085
  Angle -7: cl=-0.6534134745597839, cd=0.13161398470401764, cm=-0.18113712966442108
  Angle -6: cl=-0.6060939431190491, cd=0.11690205335617065, cm=-0.16650591790676117
  Angle -5: cl=-0.4988066554069519, cd=0.10458187758922577, cm=-0.1529955416917801
  Angle -4: cl=-0.40664994716644287, cd=0.0994531512260437, cm=-0.13995571434497833
  Angle -3: cl=-0.3053209185600281, cd=0.09377541393041611, cm=-0.12652666866779327
  Angle -2: cl=-0.2237766683101654, cd=0.08850979059934616, cm=-0.10541816055774689
  Angle -1: cl=-0.1626332402229309, cd=0.08370890468358994, cm=-0.07619599997997284
  Angle 0: cl=-0.08924340456724167, cd=0.08279624581336975, cm=-0.04830901324748993
  Angle 1: cl=-0.005542086437344551, cd=0.08308600634336472, cm=-0.025987282395362854
  Angle 2: cl=0.07889501750469208, cd=0.08411440998315811, cm=-0.01096390187740326
  Angle 3: cl=0.31062695384025574, cd=0.06896910816431046, cm=-0.006035163998603821
  Angle 4: cl=0.4284204840660095, cd=0.07182952761650085, cm=-5.7443976402282715e-05
  Angle 5: cl=0.5269805192947388, cd=0.08009663969278336, cm=0.0033692121505737305
  Angle 6: cl=0.6182538866996765, cd=0.08735054731369019, cm=0.005791589617729187
  Angle 7: cl=0.7082730531692505, cd=0.09395818412303925, cm=0.00824446976184845
  Angle 8: cl=0.7980590462684631, cd=0.10051549226045609, cm=0.009895071387290955
  Angle 9: cl=0.8935806155204773, cd=0.10530643910169601, cm=0.003606855869293213
  Angle 10: cl=0.9929561614990234, cd=0.11136658489704132, cm=-0.004251465201377869
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.253092120326262, 10.030991605408216]:
  Angle -10: cl=-0.5663586854934692, cd=0.23447468876838684, cm=-0.19028042256832123
  Angle -9: cl=-0.5923385620117188, cd=0.20158740878105164, cm=-0.18652130663394928
  Angle -8: cl=-0.6149993538856506, cd=0.16672925651073456, cm=-0.1855684369802475
  Angle -7: cl=-0.6536717414855957, cd=0.13169963657855988, cm=-0.18122728168964386
  Angle -6: cl=-0.6060923933982849, cd=0.11699198931455612, cm=-0.1665589064359665
  Angle -5: cl=-0.4989149570465088, cd=0.10463418066501617, cm=-0.15311552584171295
  Angle -4: cl=-0.40652862191200256, cd=0.09944728016853333, cm=-0.14009840786457062
  Angle -3: cl=-0.3053683042526245, cd=0.09379784017801285, cm=-0.12665577232837677
  Angle -2: cl=-0.22341731190681458, cd=0.08853819966316223, cm=-0.1056254655122757
  Angle -1: cl=-0.1621272712945938, cd=0.08374230563640594, cm=-0.0764685720205307
  Angle 0: cl=-0.0888025090098381, cd=0.08281216770410538, cm=-0.04854734241962433
  Angle 1: cl=-0.005249278619885445, cd=0.0830872654914856, cm=-0.026142939925193787
  Angle 2: cl=0.07930051535367966, cd=0.08411268144845963, cm=-0.011155113577842712
  Angle 3: cl=0.31087765097618103, cd=0.06899509578943253, cm=-0.006237521767616272
  Angle 4: cl=0.42888399958610535, cd=0.07174752652645111, cm=-0.0001611262559890747
  Angle 5: cl=0.5275250673294067, cd=0.07999766618013382, cm=0.003295689821243286
  Angle 6: cl=0.6187372207641602, cd=0.08727557957172394, cm=0.005709812045097351
  Angle 7: cl=0.7087519764900208, cd=0.09388414025306702, cm=0.00814908742904663
  Angle 8: cl=0.7986074090003967, cd=0.10043933242559433, cm=0.009802863001823425
  Angle 9: cl=0.8940298557281494, cd=0.10528631508350372, cm=0.0036536455154418945
  Angle 10: cl=0.9934117197990417, cd=0.11129647493362427, cm=-0.004187449812889099
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.309425346603519, 10.030991605408216]:
  Angle -10: cl=-0.565982460975647, cd=0.23424996435642242, cm=-0.19017960131168365
  Angle -9: cl=-0.5919826626777649, cd=0.20127500593662262, cm=-0.18647943437099457
  Angle -8: cl=-0.6146337389945984, cd=0.1664842963218689, cm=-0.18552963435649872
  Angle -7: cl=-0.653427243232727, cd=0.1315567046403885, cm=-0.1810922473669052
  Angle -6: cl=-0.6060168147087097, cd=0.11684827506542206, cm=-0.16646318137645721
  Angle -5: cl=-0.49876779317855835, cd=0.1045556515455246, cm=-0.15298335254192352
  Angle -4: cl=-0.4067894220352173, cd=0.09945487976074219, cm=-0.13993863761425018
  Angle -3: cl=-0.3052824139595032, cd=0.09376680850982666, cm=-0.1264948695898056
  Angle -2: cl=-0.22388264536857605, cd=0.08849669992923737, cm=-0.10528583824634552
  Angle -1: cl=-0.16280949115753174, cd=0.08371860533952713, cm=-0.07607661187648773
  Angle 0: cl=-0.08940474689006805, cd=0.08279286324977875, cm=-0.048145994544029236
  Angle 1: cl=-0.005584673956036568, cd=0.08309055864810944, cm=-0.025912299752235413
  Angle 2: cl=0.07871866226196289, cd=0.08410147577524185, cm=-0.010896041989326477
  Angle 3: cl=0.31103071570396423, cd=0.06887733936309814, cm=-0.005961373448371887
  Angle 4: cl=0.42830178141593933, cd=0.07188420742750168, cm=-1.1965632438659668e-05
  Angle 5: cl=0.5267489552497864, cd=0.08013595640659332, cm=0.003397122025489807
  Angle 6: cl=0.6182051301002502, cd=0.08738359063863754, cm=0.005786806344985962
  Angle 7: cl=0.7080079317092896, cd=0.09400185942649841, cm=0.008278891444206238
  Angle 8: cl=0.7981221079826355, cd=0.10057221353054047, cm=0.00990244746208191
  Angle 9: cl=0.8934457302093506, cd=0.10533547401428223, cm=0.0035442858934402466
  Angle 10: cl=0.992799699306488, cd=0.1113726794719696, cm=-0.004291132092475891
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216]:
  Angle -10: cl=-0.5661917924880981, cd=0.23437270522117615, cm=-0.19028718769550323
  Angle -9: cl=-0.5921936631202698, cd=0.20144014060497284, cm=-0.18651415407657623
  Angle -8: cl=-0.6149242520332336, cd=0.16657069325447083, cm=-0.1855670064687729
  Angle -7: cl=-0.6534892320632935, cd=0.13162492215633392, cm=-0.18116529285907745
  Angle -6: cl=-0.6062099933624268, cd=0.11693616956472397, cm=-0.1665244847536087
  Angle -5: cl=-0.4986969828605652, cd=0.10458140075206757, cm=-0.15302853286266327
  Angle -4: cl=-0.4064684212207794, cd=0.09945154190063477, cm=-0.14002127945423126
  Angle -3: cl=-0.30547821521759033, cd=0.09379052370786667, cm=-0.12656070291996002
  Angle -2: cl=-0.2236666977405548, cd=0.0885184183716774, cm=-0.10546155273914337
  Angle -1: cl=-0.16262683272361755, cd=0.08372413367033005, cm=-0.07624034583568573
  Angle 0: cl=-0.08898337930440903, cd=0.08279141038656235, cm=-0.04839251935482025
  Angle 1: cl=-0.005355732515454292, cd=0.08309390395879745, cm=-0.026029959321022034
  Angle 2: cl=0.07912571728229523, cd=0.0841248407959938, cm=-0.011022284626960754
  Angle 3: cl=0.3107043206691742, cd=0.06896018981933594, cm=-0.006090566515922546
  Angle 4: cl=0.4286114573478699, cd=0.07181549072265625, cm=-8.110702037811279e-05
  Angle 5: cl=0.5271304249763489, cd=0.08007803559303284, cm=0.0033457577228546143
  Angle 6: cl=0.618359386920929, cd=0.08733653277158737, cm=0.005774900317192078
  Angle 7: cl=0.7082211971282959, cd=0.09394024312496185, cm=0.008230641484260559
  Angle 8: cl=0.7984898686408997, cd=0.10050676017999649, cm=0.009840771555900574
  Angle 9: cl=0.8937983512878418, cd=0.10531014949083328, cm=0.003604412078857422
  Angle 10: cl=0.9931058883666992, cd=0.11134500801563263, cm=-0.004245653748512268
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2813897953810915, 10.030991605408216]:
  Angle -10: cl=-0.5661917924880981, cd=0.23437270522117615, cm=-0.19028718769550323
  Angle -9: cl=-0.5921936631202698, cd=0.20144014060497284, cm=-0.18651415407657623
  Angle -8: cl=-0.6149242520332336, cd=0.16657069325447083, cm=-0.1855670064687729
  Angle -7: cl=-0.6534892320632935, cd=0.13162492215633392, cm=-0.18116529285907745
  Angle -6: cl=-0.6062099933624268, cd=0.11693616956472397, cm=-0.1665244847536087
  Angle -5: cl=-0.4986969828605652, cd=0.10458140075206757, cm=-0.15302853286266327
  Angle -4: cl=-0.4064684212207794, cd=0.09945154190063477, cm=-0.14002127945423126
  Angle -3: cl=-0.30547821521759033, cd=0.09379052370786667, cm=-0.12656070291996002
  Angle -2: cl=-0.2236666977405548, cd=0.0885184183716774, cm=-0.10546155273914337
  Angle -1: cl=-0.16262683272361755, cd=0.08372413367033005, cm=-0.07624034583568573
  Angle 0: cl=-0.08898337930440903, cd=0.08279141038656235, cm=-0.04839251935482025
  Angle 1: cl=-0.005355732515454292, cd=0.08309390395879745, cm=-0.026029959321022034
  Angle 2: cl=0.07912571728229523, cd=0.0841248407959938, cm=-0.011022284626960754
